acl 2.3.1-2
python-pyparsing 3.0.9-1
python-requests 2.27.1-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:60.6.0-1
python-six 1.16.0-5
python-toml 0.10.2-7.1
python-tomli 2.0.1-1
python-urllib3 1.26.9-1
python-webencodings 0.5.1-9
python-wheel 0.37.1-1
python-xlib 0.31-3
qt5-base 5.15.4+kde+r146-1
qt5-declarative 5.15.4+kde+r19-1
qt5-svg 5.15.4+kde+r10-1
qt5-translations 5.15.4+kde+r2-1
qt5-wayland 5.15.4+kde+r38-1
qt5-x11extras 5.15.4+kde+r0-1
rav1e 0.4.1-2
readline 8.1.002-1
rest 0.8.1+r4+ge5ee6ef-1
rofi 1.7.3-1
run-parts 5.5-1
rust 1:1.61.0-1
sbc 1.5-2
sddm 0.19.0-8
sddm-openrc 20220104-1
sdl2 2.0.22-2
sed 4.8-1.1
serd 0.30.10-1
serf 1.3.9-5.1
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
sord 0.16.8-1
speex 1.2.0-3.1
speexdsp 1.2.0-2.1
sqlite 3.38.5-1
sratom 0.6.8-3
srt 1.4.4-1
startup-notification 0.12-7.1
subversion 1.14.2-0.9
sudo 1.9.10-1
svt-av1 0.9.0-2
sysfsutils 2.1.1-1
t1lib 5.1.2-8.1
tar 1.34-1
texinfo 6.8-2
texlive-bin 2022.62885-1
tpm2-tss 3.2.0-1
tree-sitter 0.20.6-1
tslib 1.22-1
ttf-baekmuk 2.2-13
ttf-bitstream-vera 1.10-14
ttf-cascadia-code 2111.01-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-fira-code 6.2-2
ttf-fira-mono 2:3.206-4
ttf-font-awesome 6.1.1-1
ttf-hanazono 20170904-4
ttf-iosevka-nerd 2.1.0-2
ttf-jetbrains-mono 2.242-2
ttf-joypixels 6.6.0-2
ttf-liberation 2.1.5-1
ttf-nerd-fonts-symbols 2.1.0+36+gd0bf73a1-4
ttf-roboto 2.138-4
ttf-roboto-mono 3.000-1
ttf-sarasa-gothic 0.36.4-1
ttf-sazanami 20040629-11
ttf-ubuntu-font-family 0.83-8
tzdata 2022a-1
udev 251.2-1
unibilium 2.1.1-1
unzip 6.0-18
util-linux 2.38-1
util-linux-libs 2.38-1
v4l-utils 1.22.1-1
